"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;",,,";"MountingHole_2.2mm_M2";4;"MountingHole_2.2mm_M2";;;
2;"K1,K2";"RELAY_SRD-05VDC-SL-C";2;"SRD-05VDC-SL-C";;;
3;"D6,D2,D1,D3,D4,D5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"LED";;;
4;"J1";"JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical";1;"Screw_Terminal_01x03";;;
5;"R5";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"2";;;
6;"Q1";"TO-220-3_Vertical";1;"TIP42C";;;
7;"Cdes1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100n";;;
8;"SW2,SW1";"SW_SPST_TL3305A";2;"SW_DIP_x01";;;
9;"U4,U5";"DIP-4_W7.62mm";2;"PC817";;;
10;"J4,J3";"TerminalBlock_bornier-3_P5.08mm";2;"Screw_Terminal_01x03";;;
11;"Q3,Q2";"SOT23";2;"MMBT2222A";;;
12;"J8";"TerminalBlock_bornier-2_P5.08mm";1;"Screw_Terminal_01x02";;;
13;"C5,C4";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10u";;;
14;"C3,C2";"CP_Elec_6.3x5.8";2;"100u";;;
15;"U3";"TO-220-3_Vertical";1;"LM1117-3.3";;;
16;"U2";"TO-220-3_Vertical";1;"LM7805_TO220";;;
17;"R4,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"220";;;
18;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470";;;
19;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"680";;;
20;"R11,R9,R8,R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"R";;;
21;"R3,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"12K";;;
22;"D8,D7";"D_SMA_Handsoldering";2;"1N4007";;;
23;"U1";"ESP-32S";1;"ESP-32S";;;
